title,description,price,photo
"Клавиатура из волшебного дерева","Эта клавиатура, вырезанная из древа, которое росло в сердце волшебного леса, придаст вашим пальцам невероятную ловкость и скорость. Пишите быстрее, чем когда-либо! Эффект: +10% к скорости набора текста на 30 дней.",200000,"products/product1.jpg"
"Монитор с магическим увеличением","Этот монитор, усиленный магией ясности, позволит вам видеть все детали и не упускать ничего важного. Работайте эффективнее и продуктивнее! Эффект: +15% к концентрации и внимательности на 30 дней.",300000,"products/product2.jpg"
"Мышь с кнопкой скорости","Эта мышь, оснащенная кнопкой, которая активирует магический ускоритель, позволит вам быстро перемещаться по экрану и выполнять действия в два раза быстрее. Эффект: +20% к скорости работы с компьютером на 30 дней.",150000,"products/product3.jpg"
"Наушники заклинателя","Эти наушники, наполненные магией звука, подарят вам кристально чистый звук и помогут полностью погрузиться в работу. Концентрируйтесь на важном, не отвлекаясь! Эффект: +10% к продуктивности при использовании на 30 дней.",2500,"products/product4.jpg"
"Стул астрального комфорта","Этот стул, созданный из материалов, добытых в астральном мире, обеспечит вам максимальный комфорт и поддержку во время работы. Работайте долго и с удовольствием! Эффект: +20% к комфорту и удобству на 30 дней.",400000,"products/product5.jpg"
"Лампа интеллекта","Эта лампа, наполненная магией знаний, освещает ваш ум и помогает находить нестандартные решения. Используйте ее, когда вам нужно проявить креативность. Эффект: +10% к интеллекту и креативности на 30 дней.",10000,"products/product6.jpg"
"Кружка энергии","Эта кружка, наполненная магией жизненной силы, восстановит вашу энергию и поможет продержаться до конца рабочего дня. Используйте ее, когда вам нужно подзарядиться. Эффект: +10% к энергии и работоспособности на 30 дней.",500,"products/product7.jpg"
"Блокнот инсайтов","Этот блокнот, наполненный магией вдохновения, поможет вам записывать свои идеи и мысли. Используйте его, чтобы не упустить важные мысли. Эффект: +10% к вдохновению и генерации идей на 30 дней.",3000,"products/product8.jpg"
"Ручка ясности","Эта ручка, наполненная магией ясности, поможет вам четко и ясно излагать свои мысли. Используйте ее, когда вам нужно написать важный документ. Эффект: +10% к ясности и структурированности текста на 30 дней.",200,"products/product9.jpg"
"Флешка памяти","Эта флешка, наполненная магией памяти, позволит вам хранить и переносить большие объемы данных. Используйте ее, чтобы быть всегда готовым к работе. Эффект: Увеличение объема памяти на 50% на 30 дней.",10000,"products/product10.jpg"
"Защита от проклятия опоздания","Этот артефакт защитит вас от проклятия опоздания и позволит вам прийти на работу на час позже, не потеряв при этом опыт и монеты. Эффект: Возможность опоздать на работу на 1 час без штрафов.",50000,"products/product11.jpg"
"Свиток отпуска","Этот свиток позволит вам взять дополнительный день отпуска, сохранив при этом все ваши награды и достижения. Отдыхайте с чистой совестью! Эффект: Дополнительный день отпуска.",200000,"products/product12.jpg"
"Амулет бессонницы","Этот амулет, наполненный магией бодрости, позволит вам работать без сна в течение 24 часов. Используйте его, когда вам нужно срочно выполнить задачу. Эффект: Работа без сна в течение 24 часов.",1000,"products/product13.jpg"
"Зелье счастливого дня","Это зелье, приготовленное из редких трав, подарит вам удачу на целый день. Используйте его, когда вам нужно немного везения. Эффект: +10% к шансу получить дополнительные монеты и опыт за задачу на 24 часа.",500,"products/product14.jpg"
"Ключ от кабинета","Этот ключ откроет вам доступ к кабинету начальника, где вы сможете найти ценные ресурсы и информацию. Используйте его, чтобы получить преимущество. Эффект: Доступ к кабинету начальника на 24 часа.",150000,"products/product15.jpg"
