rank_id,title,level,required_xp,bonus_coins
1,Странник,1,100,1
2,Странник,2,300,1
3,Странник,3,500,1
4,Странник,4,700,1
5,Странник,5,900,1
6,Новобранец,6,1500,2
7,Новобранец,7,2100,2
8,Новобранец,8,2700,2
9,Новобранец,9,3300,2
10,Новобранец,10,3900,2
11,Воин,11,5500,4
12,Воин,12,7100,4
13,Воин,13,8700,4
14,Воин,14,10300,4
15,Воин,15,11900,4
16,Воин,16,13500,4
17,Воин,17,15100,4
18,Воин,18,16700,4
19,Воин,19,18300,4
20,Воин,20,19900,4
21,Боец,21,23100,6
22,Боец,22,26300,6
23,Боец,23,29500,6
24,Боец,24,32700,6
25,Боец,25,35900,6
26,Боец,26,39100,6
27,Боец,27,42300,6
28,Боец,28,45500,6
29,Боец,29,48700,6
30,Боец,30,51900,6
31,Рыцарь,31,55500,10
32,Рыцарь,32,59100,10
33,Рыцарь,33,62700,10
34,Рыцарь,34,66300,10
35,Рыцарь,35,69900,10
36,Рыцарь,36,73500,10
37,Рыцарь,37,77100,10
38,Рыцарь,38,80700,10
39,Рыцарь,39,84300,10
40,Рыцарь,40,87900,10
41,Гладиатор,41,91900,14
42,Гладиатор,42,95900,14
43,Гладиатор,43,99900,14
44,Гладиатор,44,103900,14
45,Гладиатор,45,107900,14
46,Гладиатор,46,111900,14
47,Гладиатор,47,115900,14
48,Гладиатор,48,119900,14
49,Гладиатор,49,123900,14
50,Гладиатор,50,127900,14
51,Вождь,51,132100,18
52,Вождь,52,136300,18
53,Вождь,53,140500,18
54,Вождь,54,144700,18
55,Вождь,55,148900,18
56,Вождь,56,153100,18
57,Вождь,57,157300,18
58,Вождь,58,161500,18
59,Вождь,59,165700,18
60,Вождь,60,169900,18
61,Чемпион,61,174300,22
62,Чемпион,62,178700,22
63,Чемпион,63,183100,22
64,Чемпион,64,187500,22
65,Чемпион,65,191900,22
66,Чемпион,66,196300,22
67,Чемпион,67,200700,22
68,Чемпион,68,205100,22
69,Чемпион,69,209500,22
70,Чемпион,70,213900,22
71,Чемпион,71,218300,22
72,Чемпион,72,222700,22
73,Чемпион,73,227100,22
74,Чемпион,74,231500,22
75,Чемпион,75,235900,22
76,Герой,76,240500,25
77,Герой,77,245100,25
78,Герой,78,249700,25
79,Герой,79,254300,25
80,Герой,80,258900,25
81,Герой,81,263500,25
82,Герой,82,268100,25
83,Герой,83,272700,25
84,Герой,84,277300,25
85,Герой,85,281900,25
86,Герой,86,286500,25
87,Герой,87,291100,25
88,Герой,88,295700,25
89,Герой,89,300300,25
90,Герой,90,304900,25
91,Военачальник,91,314600,30
92,Военачальник,92,324300,30
93,Военачальник,93,334000,30
94,Паладин,94,351000,32
95,Паладин,95,368000,32
96,Паладин,96,385000,32
97,Владыка войны,97,410000,36
98,Владыка войны,98,435000,36
99,Владыка войны,99,460000,36
100,Бог войны,100,500000,40
