achievement_id,title,description,xp_reward,coins_reward,photo
3,Меч в сердце,"Поздравляем! Ты проник в самое сердце королевства Sword, где каждый камень хранит историю битвы, а ветер несет на крыльях легенды. Готов ли ты к тому, чтобы стать частью этой эпической саги?",50,5,achievements/achiev0.jpg
4,Бронзовый убийца гоблинов,"Потрясающе! Ты расправился с 10 гоблинами! 🎉 Чтобы получить этот эпический титул, тебе пришлось пройти через адские задачи, одолевая каждого гоблина в схватке. Твой клинок блестит от победы, а глаза горят жаждой новых приключений!",1000,10,achievements/achiev1.jpg
5,Серебряный убийца гоблинов,"Невероятно! Ты истребил 50 гоблинов! 🔥 Чтобы завоевать этот легендарный титул, тебе пришлось пройти через бесчисленные испытания, оставляя за собой цепочку павших врагов. Твоя решимость и мастерство воина не знают границ!",5000,50,achievements/achiev2.jpg
6,Золотой убийца гоблинов,"Эпический триумф! Ты положил конец 100 гоблинам! 🏆 Чтобы достичь этой вершины славы, тебе пришлось преодолеть непроходимые леса, глубокие пещеры и самые опасные ловушки, оставляя за собой пустынные поля битв. Твоя легенда уже пишется!",10000,100,achievements/achiev3.jpg
7,Мастер Артефактов,"Прекрасно! Чтобы получить это достижение, тебе нужно приобрести любой предмет из Лавки Артефактов. Пусть твой выбор принесет тебе не только награду, но и новые возможности в мире приключений!",2500,20,achievements/achiev4.jpg
8,Начало,"Отличная работа, так держать! Чтобы получить это достижение, тебе нужно выполнить одну задачу в королевстве Sword. Пусть твоя храбрость и мастерство вознесут тебя на вершину славы!",500,10,achievements/achiev5.jpg
9,Командный Гигант,"Фантастика! Ты — настоящий мастер дипломатии! 🌟 Чтобы получить это достижение, тебе нужно состоять одновременно в 3 командах. Твоя способность балансировать между разными союзами откроет тебе невероятные возможности и пути к успеху!",4000,30,achievements/achiev6.jpg
10,Бронзовый уровень,"Стань настоящим рыцарем королевства Sword, достигнув 10 уровня! Каждое выполненное задание — это шаг к великой славе, где твои навыки и решимость будут вознаграждены королевским признанием. Открой для себя тайны замка, сразись с могущественными врагами и докажи, что ты достоин звания героя королевства Sword!",2000,20,achievements/achiev6.png
11,Серебряный уровень,"Стань непобедимым рыцарем королевства Sword, достигнув 50 уровня! Каждое выполненное задание — это битва за величие, где твои навыки и решимость будут вознаграждены королевским признанием. Открой для себя тайны древних руин, сразись с могущественными врагами и докажи, что ты достоин звания величайшего героя королевства Sword!",10000,80,achievements/achiev7.png
12,Золотой уровень,"Покори 80-й уровень, сражаясь с миссиями в королевстве Sword, где каждый вызов — это битва за славу и мастерство. Пройди через леса загадок, горы испытаний и реки мудрости, собирая опыт и награды на своем пути. Стань легендой, чье имя будет греметь по всему королевству, и докажи, что ты достоин титула Верховного Воителя Sword!",20000,180,achievements/achiev8.png
